Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	À©Õ¹Ì××°Òþ²ØÊôÐÔ3	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	ÌØÊâ×°±¸±êÊ¶£¨¿É¶¨ÒåµÀ¾ßÃû³ÆÑÕÉ«£¬ºóÐøÀ©Õ¹£©
Tinh S­¬ng-ThiÒm Phi Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle38.spr	34	1	2	Trang bÞ Hoµng Kim, bé trang Ngò §éc Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 4	3	99999	10	0	30	135	135	31	80	80																36	10	39	3	46	1							962	880	4292	1023	1340	1303	385	401	4	2352	1281		2	10					
Tinh S­¬ng-ThiÒm Phi Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash77.spr	32	2	1	Trang bÞ Hoµng Kim, bé trang Ngò §éc Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 5	4	99999	10	0	30	160	160	31	80	80																36	10	39	3	46	1							962	940	4293	4058	1340	1303	385	401	5	2580	1281		2	10					
Tinh S­¬ng-ThiÒm Phi Cæ Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth80.spr	22	2	3	Trang bÞ Hoµng Kim, bé trang Ngò §éc Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 6	0	99999	10	0	30	720	720	31	90	90																36	10	39	3	46	1							962	920	4292	4060	4298	4066	385	401	6	2352	2332		2	10					
Tinh S­¬ng-ThiÒm Phi TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove12.spr	9	1	2	Trang bÞ Hoµng Kim, bé trang Ngò §éc Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 7	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	10	39	3	46	1							2719	900	1103	4059	1342	4066	385	401	7	2352	130		2	10					
Tinh S­¬ng-ThiÒm Phi Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes80.spr	26	2	2	Trang bÞ Hoµng Kim, bé trang Ngò §éc Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 8	1	99999	10	0	30	160	160	31	80	80																36	10	39	3	46	1							962	860	4293	1023	1262	1303	385	401	8	2352	1281		2	10					
Tinh S­¬ng-ThiÒm Phi Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist34.spr	36	1	2	Trang bÞ Hoµng Kim, bé trang Ngò §éc Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 9	3	99999	10	0																						36	10	39	3	46	1							962	880	981	1023	1340	1303	385	401	9	2581	1281		2	10					
Tinh S­¬ng-ThiÒm Phi Kh« L©u ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang Ngò §éc Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 10	4	99999	10	0																						36	10	39	3	46	1							962	940	981	4058	1340	1303	385	401	10	130			2	10					
Tinh S­¬ng-Phô Cèt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck33.spr	36	2	1	Trang bÞ Hoµng Kim, bé trang Ngò §éc §ao Ph¸p cÊp Tinh S­¬ng, mãn 1	0	99999	10	0																						36	10	39	3	46	1							962	920	980	4060	1003	1303	386	402	1	2583	1281		2	10					
Tinh S­¬ng-Phô Cèt Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap80.spr	28	2	2	Trang bÞ Hoµng Kim, bé trang Ngò §éc §ao Ph¸p cÊp Tinh S­¬ng, mãn 2	2	99999	10	0	30	360	360	31	85	85																36	10	39	3	46	1							962	900	981	4059	1340	4066	386	402	2	2352	2830		2	10					
Tinh S­¬ng-Phô Cèt HuyÒn ¢m Giíi	0	3	0	\spr\item\equip\ring\obj-ring33.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang Ngò §éc §ao Ph¸p cÊp Tinh S­¬ng, mãn 3	1	99999	10	0																						36	10	39	3	46	1							962	860	980	1023	1340	1303	386	402	3	130			2	10					
Tinh S­¬ng-Phô Cèt Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle38.spr	34	1	2	Trang bÞ Hoµng Kim, bé trang Ngò §éc §ao Ph¸p cÊp Tinh S­¬ng, mãn 4	3	99999	10	0	30	135	135	31	80	80																36	10	39	3	46	1							962	880	4292	1023	1340	1303	386	402	4	2352	1281		2	10					
Tinh S­¬ng-Phô Cèt Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash77.spr	33	2	1	Trang bÞ Hoµng Kim, bé trang Ngò §éc §ao Ph¸p cÊp Tinh S­¬ng, mãn 5	4	99999	10	0	30	160	160	31	80	80																36	10	39	3	46	1							962	940	4293	4058	1340	1303	386	402	5	2584	1281		2	10					
Tinh S­¬ng-Phô Cèt Hé Gi¸p	0	2	2	\spr\item\equip\armor\obj-ma-cloth80.spr	22	2	3	Trang bÞ Hoµng Kim, bé trang Ngò §éc §ao Ph¸p cÊp Tinh S­¬ng, mãn 6	0	99999	10	0	30	720	720	31	90	90																36	10	39	3	46	1							962	920	4292	4060	4298	4066	386	402	6	2352	2333		2	10					
Tinh S­¬ng-Phô Cèt HuyÕt NhËn	0	0	1	\spr\item\equip\closeweapon\obj-blade37.spr	10	1	4	Trang bÞ Hoµng Kim, bé trang Ngò §éc §ao Ph¸p cÊp Tinh S­¬ng, mãn 7	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	10	39	3	46	1							2714	900	1084	4059	1325	4066	386	402	7	2352	130		2	10					
Tinh S­¬ng-Phô Cèt Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes80.spr	26	2	2	Trang bÞ Hoµng Kim, bé trang Ngò §éc §ao Ph¸p cÊp Tinh S­¬ng, mãn 8	1	99999	10	0	30	160	160	31	80	80																36	10	39	3	46	1							962	860	4293	1023	1262	1303	386	402	8	2352	1281		2	10					
Tinh S­¬ng-Phô Cèt Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist34.spr	36	1	2	Trang bÞ Hoµng Kim, bé trang Ngò §éc §ao Ph¸p cÊp Tinh S­¬ng, mãn 9	3	99999	10	0																						36	10	39	3	46	1							962	880	981	1023	1340	1303	386	402	9	2585	1281		2	10					
Tinh S­¬ng-Phô Cèt HuyÒn U Giíi	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang Ngò §éc §ao Ph¸p cÊp Tinh S­¬ng, mãn 10	4	99999	10	0																						36	10	39	3	46	1							962	940	981	4058	1340	1303	386	402	10	130			2	10					
Tinh S­¬ng-L·nh HuyÕt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck33.spr	36	2	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi §ao cÊp Tinh S­¬ng, mãn 1	4	99999	10	0																						36	10	39	2	46	1							962	920	980	4060	1003	1303	387	403	1	2587	1281		2	10					
Tinh S­¬ng-L·nh HuyÕt Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap81.spr	28	2	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi §ao cÊp Tinh S­¬ng, mãn 2	0	99999	10	0	30	360	360	31	85	85																36	10	39	2	46	1							962	900	981	4059	1340	3540	387	403	2	2352	2831		2	10					
Tinh S­¬ng-L·nh HuyÕt Phi Hoa ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring33.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi §ao cÊp Tinh S­¬ng, mãn 3	2	99999	10	0																						36	10	39	2	46	1							962	860	980	1023	1340	1303	387	403	3	130			2	10					
Tinh S­¬ng-L·nh HuyÕt Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle38.spr	34	1	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi §ao cÊp Tinh S­¬ng, mãn 4	1	99999	10	0	30	135	135	31	80	80																36	10	39	2	46	1							962	880	4292	1023	1340	1303	387	403	4	2352	1281		2	10					
Tinh S­¬ng-L·nh HuyÕt TriÒn Yªu	0	6	0	\spr\item\equip\sash\obj-sash77.spr	32	2	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi §ao cÊp Tinh S­¬ng, mãn 5	3	99999	10	0	30	160	160	31	80	80																36	10	39	2	46	1							962	940	4293	4058	1340	1303	387	403	5	2588	1281		2	10					
Tinh S­¬ng-L·nh HuyÕt Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth81.spr	22	2	3	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi §ao cÊp Tinh S­¬ng, mãn 6	4	99999	10	0	30	720	720	31	90	90																36	10	39	2	46	1							962	920	4292	4060	4298	3540	387	403	6	2352	2334		2	10					
Tinh S­¬ng-L·nh HuyÕt Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart33.spr	15	1	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi §ao cÊp Tinh S­¬ng, mãn 7	0	99999	10	0	28	44	44	29	100	100	167	-30	-30	31	99	99										36	10	39	2	46	1							2717	900	1084	4059	1340	3540	387	403	7	2352	130		2	10					
Tinh S­¬ng-L·nh HuyÕt L÷	0	5	1	\spr\item\equip\boots\obj-shoes81.spr	26	2	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi §ao cÊp Tinh S­¬ng, mãn 8	2	99999	10	0	30	160	160	31	80	80																36	10	39	2	46	1							962	860	4293	1023	1262	1303	387	403	8	2352	1281		2	10					
Tinh S­¬ng-L·nh HuyÕt Béi	0	9	1	\spr\item\equip\waist\obj-waist34.spr	36	1	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi §ao cÊp Tinh S­¬ng, mãn 9	1	99999	10	0																						36	10	39	2	46	1							962	880	981	1023	1340	1303	387	403	9	2589	1281		2	10					
Tinh S­¬ng-L·nh HuyÕt TrÝch DiÖp ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi §ao cÊp Tinh S­¬ng, mãn 10	3	99999	10	0																						36	10	39	2	46	1							962	940	981	4058	1340	1303	387	403	10	130			2	10					
Tinh S­¬ng-Né Liªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck33.spr	36	2	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Ná TiÔn cÊp Tinh S­¬ng, mãn 1	4	99999	10	0																						36	10	39	2	46	1							962	920	980	4060	1003	1303	388	404	1	2587	1281		2	10					
Tinh S­¬ng-Né Liªn Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap81.spr	28	2	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Ná TiÔn cÊp Tinh S­¬ng, mãn 2	0	99999	10	0	30	360	360	31	85	85																36	10	39	2	46	1							962	900	981	4059	1340	3540	388	404	2	2352	1281		2	10					
Tinh S­¬ng-Né Liªn Linh Xµ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring33.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Ná TiÔn cÊp Tinh S­¬ng, mãn 3	2	99999	10	0																						36	10	39	2	46	1							962	860	980	1023	1340	1303	388	404	3	130			2	10					
Tinh S­¬ng-Né Liªn Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle38.spr	34	1	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Ná TiÔn cÊp Tinh S­¬ng, mãn 4	1	99999	10	0	30	135	135	31	80	80																36	10	39	2	46	1							962	880	4292	1023	1340	1303	388	404	4	2352	1281		2	10					
Tinh S­¬ng-Né Liªn Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash77.spr	32	2	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Ná TiÔn cÊp Tinh S­¬ng, mãn 5	3	99999	10	0	30	160	160	31	80	80																36	10	39	2	46	1							962	940	4293	4058	1340	1303	388	404	5	2588	1281		2	10					
Tinh S­¬ng-Né Liªn Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth81.spr	22	2	3	Trang bÞ Hoµng Kim, bé trang §­êng M«n Ná TiÔn cÊp Tinh S­¬ng, mãn 6	4	99999	10	0	30	720	720	31	90	90																36	10	39	2	46	1							962	920	4292	4060	4298	3540	388	404	6	2352	2832		2	10					
Tinh S­¬ng-Né Liªn Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Ná TiÔn cÊp Tinh S­¬ng, mãn 7	0	99999	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										36	10	39	2	46	1							2717	900	1084	4059	1340	3540	388	404	7	2352	130		2	10					
Tinh S­¬ng-Né Liªn L÷	0	5	1	\spr\item\equip\boots\obj-shoes81.spr	26	2	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Ná TiÔn cÊp Tinh S­¬ng, mãn 8	2	99999	10	0	30	160	160	31	80	80																36	10	39	2	46	1							962	860	4293	1023	1262	1303	388	404	8	2352	2335		2	10					
Tinh S­¬ng-Né Liªn Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist34.spr	36	1	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Ná TiÔn cÊp Tinh S­¬ng, mãn 9	1	99999	10	0																						36	10	39	2	46	1							962	880	981	1023	1340	1303	388	404	9	2591	1281		2	10					
Tinh S­¬ng-Né Liªn Kim ThiÒm ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Ná TiÔn cÊp Tinh S­¬ng, mãn 10	3	99999	10	0																						36	10	39	2	46	1							962	940	981	4058	1340	1303	388	404	10	130			2	10					
Tinh S­¬ng-Truy MÖnh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck33.spr	36	2	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi Tiªu cÊp Tinh S­¬ng, mãn 1	4	99999	10	0																						36	10	39	2	46	1							962	920	980	4060	1003	1303	389	405	1	2587	1281		2	10					
Tinh S­¬ng-Truy MÖnh Ph¸t Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap81.spr	28	2	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi Tiªu cÊp Tinh S­¬ng, mãn 2	0	99999	10	0	30	360	360	31	85	85																36	10	39	2	46	1							962	900	981	4059	1340	3540	389	405	2	2352	1281		2	10					
Tinh S­¬ng-Truy MÖnh NhiÕp Ph¸ch ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring33.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi Tiªu cÊp Tinh S­¬ng, mãn 3	2	99999	10	0																						36	10	39	2	46	1							962	860	980	1023	1340	1303	389	405	3	130			2	10					
Tinh S­¬ng-Truy MÖnh Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle38.spr	34	1	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi Tiªu cÊp Tinh S­¬ng, mãn 4	1	99999	10	0	30	135	135	31	80	80																36	10	39	2	46	1							962	880	4292	1023	1340	1303	389	405	4	2352	1281		2	10					
Tinh S­¬ng-Truy MÖnh Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash77.spr	32	2	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi Tiªu cÊp Tinh S­¬ng, mãn 5	3	99999	10	0	30	160	160	31	80	80																36	10	39	2	46	1							962	940	4293	4058	1340	1303	389	405	5	2588	1281		2	10					
Tinh S­¬ng-Truy MÖnh Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth81.spr	22	2	3	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi Tiªu cÊp Tinh S­¬ng, mãn 6	4	99999	10	0	30	720	720	31	90	90																36	10	39	2	46	1							962	920	4292	4060	4298	3540	389	405	6	2352	2833		2	10					
Tinh S­¬ng-Truy MÖnh Phi Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart35.spr	15	1	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi Tiªu cÊp Tinh S­¬ng, mãn 7	0	99999	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										36	10	39	2	46	1							2717	900	1084	4059	1340	3540	389	405	7	2352	130		2	10					
Tinh S­¬ng-Truy MÖnh L÷	0	5	1	\spr\item\equip\boots\obj-shoes81.spr	26	2	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi Tiªu cÊp Tinh S­¬ng, mãn 8	2	99999	10	0	30	160	160	31	80	80																36	10	39	2	46	1							962	860	4293	1023	1262	1303	389	405	8	2352	2336		2	10					
Tinh S­¬ng-Truy MÖnh Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist34.spr	34	1	2	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi Tiªu cÊp Tinh S­¬ng, mãn 9	1	99999	10	0																						36	10	39	2	46	1							962	880	981	1023	1340	1303	389	405	9	2593	1281		2	10					
Tinh S­¬ng-Truy MÖnh §o¹t Hån ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring34.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang §­êng M«n Phi Tiªu cÊp Tinh S­¬ng, mãn 10	3	99999	10	0																						36	10	39	2	46	1							962	940	981	4058	1340	1303	389	405	10	130			2	10					
Tinh S­¬ng-M·nh Long H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck35.spr	36	2	1	Trang bÞ Hoµng Kim, bé trang C¸i Bang Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 1	1	99999	10	0																						36	10	39	6	46	1							962	940	980	4058	1003	1303	390	406	1	2595	1281		2	10					
Tinh S­¬ng-M·nh Long §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap82.spr	28	2	2	Trang bÞ Hoµng Kim, bé trang C¸i Bang Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 2	3	99999	10	0	30	360	360	31	85	85																36	10	39	6	46	1							962	900	981	4059	1340	4062	390	406	2	2352	1281		2	10					
Tinh S­¬ng-M·nh Long V¹n Tr­îng ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring35.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang C¸i Bang Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 3	4	99999	10	0																						36	10	39	6	46	1							962	860	980	1023	1340	1303	390	406	3	130			2	10					
Tinh S­¬ng-M·nh Long Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle41.spr	34	1	2	Trang bÞ Hoµng Kim, bé trang C¸i Bang Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 4	0	99999	10	0	30	135	135	31	80	80																36	10	39	6	46	1							962	920	4288	4060	1340	1303	390	406	4	2352	1281		2	10					
Tinh S­¬ng-M·nh Long Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash79.spr	32	2	1	Trang bÞ Hoµng Kim, bé trang C¸i Bang Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 5	2	99999	10	0	30	160	160	31	80	80																36	10	39	6	46	1							962	880	4295	1023	1340	1303	390	406	5	2596	1281		2	10					
Tinh S­¬ng-M·nh Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth82.spr	22	2	3	Trang bÞ Hoµng Kim, bé trang C¸i Bang Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 6	1	99999	10	0	30	720	720	31	90	90																36	10	39	6	46	1							962	940	4288	4058	4298	4062	390	406	6	2352	2834		2	10					
Tinh S­¬ng-M·nh Long TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove09.spr	9	1	2	Trang bÞ Hoµng Kim, bé trang C¸i Bang Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 7	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	10	39	6	46	1							2720	900	1143	4059	1342	4062	390	406	7	2352	130		2	10					
Tinh S­¬ng-M·nh Long Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes82.spr	26	2	2	Trang bÞ Hoµng Kim, bé trang C¸i Bang Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 8	4	99999	10	0	30	160	160	31	80	80																36	10	39	6	46	1							962	860	4295	1023	1262	1303	390	406	8	2597	1281		2	10					
Tinh S­¬ng-M·nh Long Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist36.spr	36	1	2	Trang bÞ Hoµng Kim, bé trang C¸i Bang Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 9	0	99999	10	0																						36	10	39	6	46	1							962	920	981	4060	1340	1303	390	406	9	2352	2337		2	10					
Tinh S­¬ng-M·nh Long Thiªn LÝ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring35.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang C¸i Bang Ch­ëng Ph¸p cÊp Tinh S­¬ng, mãn 10	2	99999	10	0																						36	10	39	6	46	1							962	880	981	1023	1340	1303	390	406	10	130			2	10					
Tinh S­¬ng-Ph¸ Lç H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck35.spr	36	2	1	Trang bÞ Hoµng Kim, bé trang C¸i Bang C«n Ph¸p cÊp Tinh S­¬ng, mãn 1	0	99999	10	0																						36	10	39	6	46	1							962	940	980	4058	1003	1303	391	407	1	2599	1281		2	10					
Tinh S­¬ng-Ph¸ Lç §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap82.spr	28	2	2	Trang bÞ Hoµng Kim, bé trang C¸i Bang C«n Ph¸p cÊp Tinh S­¬ng, mãn 2	2	99999	10	0	30	360	360	31	85	85																36	10	39	6	46	1							962	900	981	4059	1340	4062	391	407	2	2352	1281		2	10					
Tinh S­¬ng-Ph¸ Lç Lôc Long Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring35.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang C¸i Bang C«n Ph¸p cÊp Tinh S­¬ng, mãn 3	1	99999	10	0																						36	10	39	6	46	1							962	860	980	1023	1340	1303	391	407	3	130			2	10					
Tinh S­¬ng-Ph¸ Lç Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle41.spr	34	1	2	Trang bÞ Hoµng Kim, bé trang C¸i Bang C«n Ph¸p cÊp Tinh S­¬ng, mãn 4	3	99999	10	0	30	135	135	31	80	80																36	10	39	6	46	1							962	920	4288	4060	1340	1303	391	407	4	2600	1281		2	10					
Tinh S­¬ng-Ph¸ Lç Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash79.spr	33	2	1	Trang bÞ Hoµng Kim, bé trang C¸i Bang C«n Ph¸p cÊp Tinh S­¬ng, mãn 5	4	99999	10	0	30	160	160	31	80	80																36	10	39	6	46	1							962	880	4295	1023	1340	1303	391	407	5	2352	2338		2	10					
Tinh S­¬ng-Ph¸ Lç C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth82.spr	22	2	3	Trang bÞ Hoµng Kim, bé trang C¸i Bang C«n Ph¸p cÊp Tinh S­¬ng, mãn 6	0	99999	10	0	30	720	720	31	90	90																36	10	39	6	46	1							962	940	4288	4058	4298	4062	391	407	6	2352	2835		2	10					
Tinh S­¬ng-Ph¸ Lç Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-spear28.spr	11	1	4	Trang bÞ Hoµng Kim, bé trang C¸i Bang C«n Ph¸p cÊp Tinh S­¬ng, mãn 7	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	10	39	6	46	1							2715	900	1084	4059	1325	4062	391	407	7	2352	130		2	10					
Tinh S­¬ng-Ph¸ Lç Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes82.spr	26	2	2	Trang bÞ Hoµng Kim, bé trang C¸i Bang C«n Ph¸p cÊp Tinh S­¬ng, mãn 8	1	99999	10	0	30	160	160	31	80	80																36	10	39	6	46	1							962	860	4295	1023	1262	1303	391	407	8	2352	1281		2	10					
Tinh S­¬ng-Ph¸ Lç Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist36.spr	36	1	2	Trang bÞ Hoµng Kim, bé trang C¸i Bang C«n Ph¸p cÊp Tinh S­¬ng, mãn 9	3	99999	10	0																						36	10	39	6	46	1							962	920	981	4060	1340	1303	391	407	9	2601	1281		2	10					
Tinh S­¬ng-Ph¸ Lç Linh Th¹ch Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring35.spr	37	1	1	Trang bÞ Hoµng Kim, bé trang C¸i Bang C«n Ph¸p cÊp Tinh S­¬ng, mãn 10	4	99999	10	0																						36	10	39	6	46	1							962	880	981	1023	1340	1303	391	407	10	130			2	10					
